City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,homer,59.6425,-151.5483,63.77,68,75,3.44,US,1691263339
300,kanniyakumari,8.0833,77.5667,80.2,74,100,18.14,IN,1691263340
301,coahuayana de hidalgo,18.7,-103.6583,91.31,50,100,2.15,MX,1691263340
302,vorgashor,67.5833,63.95,64.13,54,0,5.1,RU,1691263340
303,luanda,-8.8368,13.2343,71.6,83,75,11.5,AO,1691263295
304,tayshet,55.9342,98.0044,47.39,80,21,3.96,RU,1691263340
305,keflavik,64.0049,-22.5624,55.31,100,100,12.66,IS,1691263340
306,tvoroyri,61.5556,-6.8111,52.56,79,100,4.25,FO,1691263340
307,kloulklubed,7.0419,134.2556,81.54,74,100,8.25,PW,1691263341
308,manicore,-5.8092,-61.3003,93.15,55,0,3.44,BR,1691263341
309,kuhmo,64.1333,29.5167,58.26,96,8,5.1,FI,1691263341
310,chonchi,-42.6128,-73.8092,53.11,75,100,3.42,CL,1691263045
311,cerqueira cesar,-23.0356,-49.1661,83.03,18,0,1.54,BR,1691263341
312,vera cruz,-12.6333,-41.0333,81.97,31,0,7.16,BR,1691263341
313,albertina,-22.2008,-46.6158,81.27,16,0,5.77,BR,1691263341
314,saldanha,-33.0117,17.9442,50.05,89,100,3.94,ZA,1691263341
315,andergrove,-21.0833,149.1833,63.81,85,6,16.78,AU,1691263310
316,san antonio de pale,-1.4014,5.6325,73.04,76,44,10.51,GQ,1691263225
317,malpica,43.3228,-8.8105,67.89,80,92,14.23,ES,1691263342
318,freetown,8.484,-13.2299,77.99,89,67,8.95,SL,1691263342
319,lyepyel',54.8814,28.6932,72.68,84,100,7.94,BY,1691263342
320,severodvinsk,64.5635,39.8302,61.59,91,22,8.01,RU,1691263342
321,rio preto da eva,-2.6994,-59.6997,101.03,24,43,3.96,BR,1691263342
322,vedea,43.7833,25.7833,79.68,51,0,16.26,RO,1691263342
323,hobyo,5.3505,48.5268,77.59,81,70,27.78,SO,1691263343
324,piedra blanca,18.8443,-70.3169,91.33,53,46,6.73,DO,1691263343
325,lorengau,-2.0226,147.2712,78.75,85,100,10.2,PG,1691263343
326,kone,-21.0595,164.8658,61.43,88,19,5.59,NC,1691263303
327,pianco,-7.1981,-37.9292,94.39,22,2,6.44,BR,1691263343
328,howard springs,-12.497,131.047,73.31,45,5,6.33,AU,1691263343
329,twon-brass,4.3151,6.2418,78.3,83,56,15.57,NG,1691263343
330,bahia honda,22.9036,-83.1592,86.83,65,52,7.92,CU,1691263343
331,klyuchi,52.2667,79.1667,66.92,68,89,4.05,RU,1691263188
332,hammerfest,70.6634,23.6821,52.25,76,100,17.27,NO,1691263343
333,ashmyany,54.425,25.9378,68.0,92,51,6.6,BY,1691263344
334,sogndal,61.2283,7.1003,62.98,77,100,0.0,NO,1691263344
335,sisimiut,66.9395,-53.6735,46.15,73,16,7.76,GL,1691263344
336,las tablas,7.7667,-80.2833,84.65,76,100,12.39,PA,1691263344
337,tosontsengel,48.7567,98.2839,48.13,91,70,1.92,MN,1691263344
338,faya-largeau,17.9257,19.1043,92.61,45,4,11.59,TD,1691263344
339,okap,19.7578,-72.2042,89.55,62,40,16.11,HT,1691263345
340,de queen,34.0379,-94.3413,100.53,41,0,8.05,US,1691263345
341,sao gabriel,-30.3364,-54.32,73.8,74,0,9.06,BR,1691263345
342,east london,-33.0153,27.9116,68.49,44,0,9.13,ZA,1691263345
343,porto franco,-6.3383,-47.3992,94.24,33,53,7.9,BR,1691263345
344,alaghsas,17.0187,8.0168,96.01,27,100,8.23,NE,1691263346
345,piti village,13.4626,144.6933,81.48,88,0,0.0,GU,1691263346
346,ketchikan,55.3422,-131.6461,70.27,60,75,5.75,US,1691263346
347,allende,25.2833,-100.0167,102.24,20,0,8.1,MX,1691263053
348,haiku-pauwela,20.9219,-156.3051,81.18,60,20,19.57,US,1691263242
